iter	Passed	Remaining
402	5103	7560
403	5115	7546
404	5123	7527
405	5135	7513
406	5147	7499
407	5156	7482
408	5167	7467
409	5178	7451
410	5186	7433
411	5198	7419
412	5209	7404
413	5218	7386
414	5230	7372
415	5239	7355
416	5253	7344
417	5266	7332
418	5278	7319
419	5291	7306
420	5300	7289
421	5312	7276
422	5324	7263
423	5336	7249
424	5348	7235
425	5361	7223
426	5375	7213
427	5384	7196
428	5396	7182
429	5408	7168
430	5417	7152
431	5428	7137
432	5439	7122
433	5449	7106
434	5464	7097
435	5478	7087
436	5491	7074
437	5503	7061
438	5512	7044
439	5523	7030
440	5535	7016
441	5544	7000
442	5557	6987
443	5567	6971
444	5577	6955
445	5589	6942
446	5599	6927
447	5609	6911
448	5621	6898
449	5633	6885
450	5642	6868
451	5654	6855
452	5665	6841
453	5677	6827
454	5690	6816
455	5705	6806
456	5717	6793
457	5727	6778
458	5738	6763
459	5750	6750
460	5759	6734
461	5771	6720
462	5783	6708
463	5792	6691
464	5802	6676
465	5813	6661
466	5823	6646
467	5834	6632
468	5845	6617
469	5855	6603
470	5866	6589
471	5880	6577
472	5889	6562
473	5905	6553
474	5920	6543
475	5934	6532
476	5945	6519
477	5954	6502
478	5965	6488
479	5976	6474
480	5985	6458
481	5996	6444
482	6006	6429
483	6016	6414
484	6027	6400
485	6038	6386
486	6049	6372
487	6060	6358
488	6068	6341
489	6080	6328
490	6091	6315
491	6106	6305
492	6118	6291
493	6132	6281
494	6144	6268
495	6154	6254
496	6163	6238
497	6175	6224
498	6183	6208
499	6194	6194
500	6204	6179
501	6213	6163
502	6224	6150
503	6235	6136
504	6246	6123
505	6258	6110
506	6269	6096
507	6278	6080
508	6354	6129
509	6423	6171
510	6470	6192
511	6552	6245
512	6570	6237
513	6588	6229
514	6604	6219
515	6622	6211
516	6637	6201
517	6651	6189
518	6668	6179
519	6679	6165
520	6691	6151
521	6705	6139
522	6718	6127
523	6731	6114
524	6741	6099
525	6755	6087
526	6769	6075
527	6789	6069
528	6805	6059
529	6821	6049
530	6839	6041
531	6856	6031
532	6874	6022
533	6888	6011
534	6902	5999
535	6915	5986
536	6929	5974
537	6941	5961
538	6952	5946
539	6962	5931
540	6972	5915
541	6982	5900
542	6992	5885
543	7002	5869
544	7014	5856
545	7027	5843
546	7037	5828
547	7052	5817
548	7063	5802
549	7073	5787
550	7084	5772
551	7095	5758
552	7139	5770
553	7191	5789
554	7217	5786
555	7254	5793
556	7285	5794
557	7300	5782
558	7314	5770
559	7325	5756
560	7335	5740
561	7345	5724
562	7357	5710
563	7366	5694
564	7376	5679
565	7387	5664
566	7397	5648
567	7408	5634
568	7419	5620
569	7430	5605
570	7444	5593
571	7488	5603
572	7497	5587
573	7507	5571
574	7517	5556
575	7526	5540
576	7536	5525
577	7546	5510
578	7556	5494
579	7567	5479
580	7577	5464
581	7591	5452
582	7602	5437
583	7611	5422
584	7621	5406
585	7632	5392
586	7644	5378
587	7656	5364
588	7669	5351
589	7682	5338
590	7691	5322
591	7702	5308
592	7713	5294
593	7722	5278
594	7732	5263
595	7741	5247
596	7751	5232
597	7762	5218
598	7770	5202
599	7781	5187
600	7792	5173
601	7802	5158
602	7812	5143
603	7821	5128
604	7831	5113
605	7844	5100
606	7860	5088
607	7872	5075
608	7882	5060
609	7893	5046
610	7902	5031
611	7915	5018
612	7926	5004
613	7935	4988
614	7947	4975
615	7958	4960
616	7967	4945
617	7977	4931
618	7987	4916
619	7996	4901
620	8007	4886
621	8017	4872
622	8028	4858
623	8041	4845
624	8055	4833
625	8068	4820
626	8082	4808
627	8094	4794
628	8105	4780
629	8116	4766
630	8127	4753
631	8138	4738
632	8147	4723
633	8159	4710
634	8170	4696
635	8179	4681
636	8190	4667
637	8203	4654
638	8211	4639
639	8223	4625
640	8233	4611
641	8243	4597
642	8257	4584
643	8272	4573
644	8286	4560
645	8298	4547
646	8308	4533
647	8323	4521
648	8335	4508
649	8347	4495
650	8357	4480
651	8368	4466
652	8379	4452
653	8393	4440
654	8404	4426
655	8414	4412
656	8424	4398
657	8435	4384
658	8445	4369
659	8455	4355
660	8466	4342
661	8478	4329
662	8491	4316
663	8502	4302
664	8515	4289
665	8524	4274
666	8535	4261
667	8546	4247
668	8555	4232
669	8566	4219
670	8576	4204
671	8585	4190
672	8595	4176
673	8604	4161
674	8614	4147
675	8624	4133
676	8635	4119
677	8646	4106
678	8654	4091
679	8664	4077
680	8677	4064
681	8695	4054
682	8712	4043
683	8726	4031
684	8739	4018
685	8750	4005
686	8760	3991
687	8769	3976
688	8780	3963
689	8792	3950
690	8804	3937
691	8817	3924
692	8833	3913
693	8851	3902
694	8865	3890
695	8885	3881
696	8900	3869
697	8912	3856
698	8928	3844
699	8942	3832
700	8955	3820
701	8969	3807
702	8982	3794
703	8994	3781
704	9007	3769
705	9020	3756
706	9031	3742
707	9042	3729
708	9055	3716
709	9069	3704
710	9084	3692
711	9098	3680
712	9112	3668
713	9127	3656
714	9140	3643
715	9153	3630
716	9166	3618
717	9179	3605
718	9188	3591
719	9201	3578
720	9214	3565
721	9223	3551
722	9234	3537
723	9246	3525
724	9259	3512
725	9270	3498
726	9282	3485
727	9297	3473
728	9313	3462
729	9325	3449
730	9334	3434
731	9346	3422
732	9357	3408
733	9372	3396
734	9385	3383
735	9397	3370
736	9407	3357
737	9416	3342
738	9427	3329
739	9438	3316
740	9448	3302
741	9459	3289
742	9470	3275
743	9479	3261
744	9491	3248
745	9504	3236
746	9518	3223
747	9528	3210
748	9541	3197
749	9552	3184
750	9562	3170
751	9574	3157
752	9585	3144
753	9594	3130
754	9605	3116
755	9613	3102
756	9624	3089
757	9634	3075
758	9643	3061
759	9654	3048
760	9666	3035
761	9675	3021
762	9686	3008
763	9695	2994
764	9707	2981
765	9720	2969
766	9732	2956
767	9743	2943
768	9757	2931
769	9769	2918
770	9777	2904
771	9788	2891
772	9799	2877
773	9808	2863
774	9819	2850
775	9828	2837
776	9838	2823
777	9848	2810
778	9858	2796
779	9870	2783
780	9880	2770
781	9889	2756
782	9900	2743
783	9911	2730
784	9921	2717
785	9931	2704
